16:10334518-10347629	.10334497-10347640.vcf.VMV1
16:10343097-10426395	.10343073-10426433.vcf.VMV1
16:1038771-1108884	.1038750-1108964.vcf.VMV1
16:10425603-10432756	.10425532-10432758.vcf.VMV1
16:10430020-10657059	.10429980-10657102.vcf.VMV1
16:10654645-10754268	.10654587-10754308.vcf.VMV1
16:10753958-10881170	.10753932-10881216.vcf.VMV1
16:10870538-10924773	.10870529-10924795.vcf.VMV1
16:10920042-10995832	.10919928-10995841.vcf.VMV1
16:10994208-11019421	.10994195-11019428.vcf.VMV1
16:11017494-11286665	.11017393-11505409.m144_11017494-11286665.VMV1
16:11204169-11505274	.11017393-11505409.m144_11204169-11505274.VMV1
16:1106966-1147362	.1106964-1147386.vcf.VMV1
16:1146126-1174671	.1146117-1174683.vcf.VMV1
16:11504868-11616353	.11504799-11616360.vcf.VMV1
16:11612626-11648136	.11612571-11648158.vcf.VMV1
16:11646749-11760038	.11646711-11760040.vcf.VMV1
16:1174490-1179146	.1174488-1179170.vcf.VMV1
16:1175922-1330069	.1175912-1330075.vcf.VMV1
16:11759294-11916980	.11759261-11916989.vcf.VMV1
16:11914668-12153974	.11914631-12153988.vcf.VMV1
16:12153703-12305075	.12153670-12613413.m156.1_12153703-12305106.VMV1
16:12305135-12518684	.12153670-12613413.m156.1_12305135-12518684.VMV1
16:12451980-12613386	.12153670-12613413.m156.1_12451980-12613386.VMV1
16:12612926-12719621	.12612910-12776955.m158.1_12612926-12719669.VMV1
16:12719676-12776930	.12612910-12776955.m158.1_12719669-12776930.VMV1
16:12776191-12791788	.12776089-12791795.vcf.VMV1
16:12790943-13021669	.12790937-13021692.vcf.VMV1
16:13020262-13120685	.13020217-13120763.vcf.VMV1
16:13120009-13154674	.13119955-13154758.vcf.VMV1
16:13149180-13318797	.13149155-13318826.vcf.VMV1
16:1329021-1546411	.1329012-1546427.vcf.VMV1
16:13317647-13644797	.13317640-13901486.m170.1_13317647-13644798.VMV1
16:13644805-13901471	.13317640-13901486.m170.2_13644798-13901471.VMV1
16:13900558-13982742	.13900544-13982744.vcf.VMV1
16:13980110-14139682	.13980066-14450326.m174.1_13980110-14139818.VMV1
16:14139828-14450201	.13980066-14450326.m174.2_14139818-14450201.VMV1
16:14446061-14464754	.14446054-14464775.vcf.VMV1
16:14463263-14472679	.14463242-14472699.vcf.VMV1
16:14469305-14821438	.14469289-15925658.m180.1_14469305-14846940.VMV1
16:14860751-15489068	.14469289-15925658.m180.2_14846940-15489156.VMV1
16:15489178-15885896	.14469289-15925658.m180.3_15489156-15885915.VMV1
16:15885964-15925493	.14469289-15925658.m180.3_15885915-15925493.VMV1
16:1545317-1823024	.1545257-2003261.m26_1545317-1823024.VMV1
16:1721422-2003193	.1545257-2003261.m26_1721422-2003193.VMV1
16:15922436-16014654	.15922434-16014669.vcf.VMV1
16:16010029-16022271	.16010029-16022284.vcf.VMV1
16:16019257-16227330	.16019176-16227368.vcf.VMV1
16:16225500-16726731	.16225472-16726756.vcf.VMV1
16:16692604-16832667	.16692498-16832860.vcf.VMV1
16:16734844-16876514	.16734225-16876549.vcf.VMV1
16:16875682-16960294	.16875633-16960385.vcf.VMV1
16:16958398-17255502	.16958316-17255536.vcf.VMV1
16:17254231-17338566	.17254181-17338566.vcf.VMV1
16:17335147-17406260	.17335139-17406283.vcf.VMV1
16:17404889-17556014	.17404828-17837100.m202.1_17404889-17556074.VMV1
16:17556201-17837065	.17404828-17837100.m202.2_17556074-17837065.VMV1
16:17830862-17842728	.17830822-17842743.vcf.VMV1
16:17842260-18067120	.17842242-18067144.vcf.VMV1
16:18064251-18208973	.18064054-18209000.vcf.VMV1
16:18192336-18746114	.18192183-18746202.vcf.VMV1
16:18319388-18977152	.18318344-18977230.vcf.VMV1
16:18975263-19110690	.18975126-19110691.vcf.VMV1
16:19104775-19142779	.19104722-19142780.vcf.VMV1
16:19123968-19173557	.19123939-19173580.vcf.VMV1
16:19160681-19193526	.19160666-19193572.vcf.VMV1
16:19188988-19245239	.19188857-19245241.vcf.VMV1
