6:100592232-100633140	.100592004-100633239.vcf.VMV1
6:100630458-100878362	.100630414-100878362.vcf.VMV1
6:100876256-101230071	.100876205-101866407.m492_100876256-101230071.VMV1
6:101116140-101567115	.100876205-101866407.m492_101116140-101567115.VMV1
6:101460936-101866368	.100876205-101866407.m492_101460936-101866368.VMV1
6:10111536-10244973	.10111187-10245108.vcf.VMV1
6:101864722-102101297	.101864482-102101300.vcf.VMV1
6:102098634-102200013	.102098570-102200053.vcf.VMV1
6:102198738-102526853	.102198653-102637622.m498_102198738-102526853.VMV1
6:102404864-102637554	.102198653-102637622.m498_102404864-102637554.VMV1
6:10242732-10398785	.10242708-10724181.m126.1_10242732-10398844.VMV1
6:10398917-10724094	.10242708-10724181.m126.3_10398844-10724094.VMV1
6:102635578-102924345	.102635542-104439439.m500.1_102635578-102924345.VMV1
6:102828735-103234279	.102635542-104439439.m500.1_102828735-103234279.VMV1
6:103234342-103485082	.102635542-104439439.m500.2_103234328-103485157.VMV1
6:103485282-103826396	.102635542-104439439.m500.3_103485282-103826396.VMV1
6:103712019-103982636	.102635542-104439439.m500.3_103712019-103982636.VMV1
6:103982865-104213955	.102635542-104439439.m500.4_103982750-104213965.VMV1
6:104213975-104439428	.102635542-104439439.m500.4_104213965-104439428.VMV1
6:104438938-104744391	.104438789-105630867.m502.1_104438938-104744391.VMV1
6:104641661-104947164	.104438789-105630867.m502.1_104641661-104947164.VMV1
6:104947187-105129972	.104438789-105630867.m502.2_104947173-105129990.VMV1
6:105130009-105535479	.104438789-105630867.m502.3_105129990-105535502.VMV1
6:105535616-105630817	.104438789-105630867.m502.3_105535502-105630817.VMV1
6:105629811-106058538	.105629748-106058747.vcf.VMV1
6:106057107-106317971	.106056946-106318014.vcf.VMV1
6:106297519-106326359	.106297185-106326543.vcf.VMV1
6:106325234-106412269	.106325179-106922909.m510.1_106325234-106412284.VMV1
6:106412299-106623645	.106325179-106922909.m510.2_106412284-106623645.VMV1
6:106623645-106922830	.106325179-106922909.m510.3_106623645-106922830.VMV1
6:10663937-10904964	.10663880-11238828.m128.1_10663937-10905027.VMV1
6:10905090-11238799	.10663880-11238828.m128.2_10905027-11238799.VMV1
6:106922777-107310987	.106922683-107311053.vcf.VMV1
6:107309901-107319615	.107309860-107319624.vcf.VMV1
6:107318551-107449842	.107318547-107449991.vcf.VMV1
6:107447074-107918351	.107447070-108295186.m518.1_107447074-107918366.VMV1
6:107918381-108295138	.107447070-108295186.m518.2_107918366-108295138.VMV1
6:108293381-108414193	.108293315-108414193.vcf.VMV1
6:108412305-108464833	.108412287-108464875.vcf.VMV1
6:108463556-108479576	.108463554-108479604.vcf.VMV1
6:108477270-108878543	.108477235-109039256.m526_108477270-108878543.VMV1
6:108737507-109039253	.108477235-109039256.m526_108737507-109039253.VMV1
6:109035974-109276400	.109035936-109503151.m528.1_109035974-109276436.VMV1
6:109276546-109503151	.109035936-109503151.m528.1_109276436-109503151.VMV1
6:109502191-109651436	.109502018-110284687.m530.1_109502191-109651489.VMV1
6:109651513-110004995	.109502018-110284687.m530.2_109651513-110004995.VMV1
6:109886944-110185107	.109502018-110284687.m530.2_109886944-110185107.VMV1
6:110185167-110284666	.109502018-110284687.m530.2_110185136-110284666.VMV1
6:110282356-110305207	.110282315-110305300.vcf.VMV1
6:110303618-110655799	.110303616-110655846.vcf.VMV1
6:110649674-110791771	.110649506-111394556.m536.1_110649674-110791787.VMV1
