17:10006009-10226337	.10005995-10226377.vcf.VMV1
17:10225047-10575584	.10224847-10575907.vcf.VMV1
17:10573340-10856912	.10573304-10856944.vcf.VMV1
17:1063426-1154423	.1063381-1154479.vcf.VMV1
17:10855932-10891666	.10855931-10891774.vcf.VMV1
17:10886054-11035772	.10886007-11035863.vcf.VMV1
17:10970264-11104261	.10970230-11104361.vcf.VMV1
17:11103591-11316846	.11103535-11316946.vcf.VMV1
17:11316279-11342958	.11316259-11342986.vcf.VMV1
17:11342363-11495708	.11342275-11495711.vcf.VMV1
17:11493907-11510527	.11493857-11510570.vcf.VMV1
17:11505133-11527820	.11505109-11527843.vcf.VMV1
17:11516341-11669724	.11516273-12048858.m168.1_11516341-11669956.VMV1
17:11670003-12048841	.11516273-12048858.m168.2_11669956-12048841.VMV1
17:1153051-1165615	.1153011-1165649.vcf.VMV1
17:1164784-1181119	.1164723-1181120.vcf.VMV1
17:1171128-1487434	.1171086-1487435.vcf.VMV1
17:12047856-12155831	.12047824-12155859.vcf.VMV1
17:12152460-12195788	.12152290-12195865.vcf.VMV1
17:12193081-12344615	.12193080-12344702.vcf.VMV1
17:12341410-12567659	.12341223-12567704.vcf.VMV1
17:12562854-12635088	.12562836-12635151.vcf.VMV1
17:12634693-12669555	.12634619-12669639.vcf.VMV1
17:12666976-12941976	.12666775-12941985.vcf.VMV1
17:12939038-13181299	.12938900-13181338.vcf.VMV1
17:13179952-13204859	.13179826-13204887.vcf.VMV1
17:13204130-13317565	.13204017-13317572.vcf.VMV1
17:13316120-13530805	.13316078-13530819.vcf.VMV1
17:13529098-13626451	.13529049-13626469.vcf.VMV1
17:13625775-13647594	.13625763-13647606.vcf.VMV1
17:13645875-13678681	.13645870-13678711.vcf.VMV1
17:13675121-13815357	.13675059-13815402.vcf.VMV1
17:13813036-13831758	.13813031-13831828.vcf.VMV1
17:13830258-13894637	.13830156-13894657.vcf.VMV1
17:13894102-14114074	.13894020-14114158.vcf.VMV1
17:14113545-14219884	.14113528-14219910.vcf.VMV1
17:14214539-14264129	.14214500-14264334.vcf.VMV1
17:14262609-14275201	.14262516-14275213.vcf.VMV1
17:14272602-14287347	.14272561-14287369.vcf.VMV1
17:14286158-14300073	.14286014-14300079.vcf.VMV1
17:14298253-14508119	.14298102-14508139.vcf.VMV1
17:14506742-14606726	.14506719-14606767.vcf.VMV1
17:14588497-14647613	.14588489-14647629.vcf.VMV1
17:14646592-14763820	.14646548-15018454.m222.1_14646592-14763836.VMV1
17:14763889-15018412	.14646548-15018454.m222.2_14763836-15018412.VMV1
17:147332-188210	.147320-188351.vcf.VMV1
17:1484516-1596893	.1484419-1597047.vcf.VMV1
17:15016785-15283701	.15016744-15283758.vcf.VMV1
17:15282633-15306441	.15282595-15306474.vcf.VMV1
17:15305309-15525135	.15305233-16413045.m228.1_15305309-15525411.VMV1
17:15525419-15620528	.15305233-16413045.m228.2_15525411-15620585.VMV1
17:15620677-15868150	.15305233-16413045.m228.3_15620585-15868152.VMV1
17:15868171-16278470	.15305233-16413045.m228.4_15868152-16278674.VMV1
17:16278675-16413024	.15305233-16413045.m228.5_16278674-16413024.VMV1
17:1594512-1612199	.1594462-1612224.vcf.VMV1
17:1610849-1661083	.1610845-1661112.vcf.VMV1
17:16411522-16893638	.16411454-16893755.vcf.VMV1
17:1658453-1814253	.1658433-1814273.vcf.VMV1
17:16893014-17301339	.16892998-17301389.vcf.VMV1
17:17291665-17596232	.17291596-18859314.m234.1_17291665-17596232.VMV1
17:17488393-17984977	.17291596-18859314.m234.1_17488393-17984977.VMV1
17:17853683-18039821	.17291596-18859314.m234.1_17853683-18039821.VMV1
17:18039881-18563924	.17291596-18859314.m234.2_18039833-18564071.VMV1
17:18564269-18859236	.17291596-18859314.m234.2_18564071-18859236.VMV1
17:1807058-1926640	.1807044-1926739.vcf.VMV1
17:186152-274976	.186087-700686.m4.1_186152-274976.VMV1
17:274976-700685	.186087-700686.m4.1_274976-700685.VMV1
17:18853672-18898511	.18853516-18898524.vcf.VMV1
17:18897883-19444191	.18897859-20843775.m238.1_18897883-19444216.VMV1
