22:17274178-17382290	.17274081-17382360.vcf.VMV1
22:17365240-17413465	.17365233-17413519.vcf.VMV1
22:17412790-17581929	.17412748-17581941.vcf.VMV1
22:17578436-17675983	.17578285-17676001.vcf.VMV1
22:17675045-17697438	.17674645-17697516.vcf.VMV1
22:17696680-17719811	.17696655-17719837.vcf.VMV1
22:17713023-17726469	.17712994-17726586.vcf.VMV1
22:17723712-17739646	.17723611-17739653.vcf.VMV1
22:17736768-17780575	.17736723-17780611.vcf.VMV1
22:17769646-17825432	.17769623-17825562.vcf.VMV1
22:17812824-17830922	.17812810-17830923.vcf.VMV1
22:17828072-17866601	.17828024-17866675.vcf.VMV1
22:17861348-17990713	.17861267-17990729.vcf.VMV1
22:17989378-18261028	.17989362-18261166.vcf.VMV1
22:18256957-18270928	.18256932-18270928.vcf.VMV1
22:18264196-18281787	.18264115-18281874.vcf.VMV1
22:18273976-18494613	.18273777-18494614.vcf.VMV1
22:18492934-18542023	.18492306-18542104.vcf.VMV1
22:18541187-18562888	.18541037-18562970.vcf.VMV1
22:18555958-18876469	.18555863-18876474.vcf.VMV1
22:18654383-19132344	.18654075-19132352.vcf.VMV1
22:19131047-19141022	.19130866-19141076.vcf.VMV1
22:19138946-19146403	.19138905-19146411.vcf.VMV1
22:19145553-19482035	.19145438-19596421.m48_19145553-19482035.VMV1
22:19355301-19596330	.19145438-19596421.m48_19355301-19596330.VMV1
22:19595493-19640282	.19595429-19640301.vcf.VMV1
22:19639666-19718379	.19639584-19718556.vcf.VMV1
22:19706000-19734398	.19705857-19734486.vcf.VMV1
22:19732210-19911922	.19732201-20228653.m56.1_19732210-19911923.VMV1
22:19911998-20228616	.19732201-20228653.m56.3_19911923-20228616.VMV1
22:20227551-20247146	.20227467-20247236.vcf.VMV1
22:20245015-20278953	.20244994-20279040.vcf.VMV1
22:20277054-20294118	.20277049-20294122.vcf.VMV1
22:20292913-20724020	.20292848-20724058.vcf.VMV1
22:20718726-20956906	.20718709-20956953.vcf.VMV1
22:20949729-20968583	.20949653-20968653.vcf.VMV1
22:20968027-21317432	.20968016-21317546.vcf.VMV1
22:21314956-21322960	.21314949-21322994.vcf.VMV1
22:21321579-21342964	.21321577-21343101.vcf.VMV1
22:21341356-21417823	.21341298-21418006.vcf.VMV1
22:21416821-21458340	.21416784-21458353.vcf.VMV1
22:21456062-21798589	.21455817-21798629.vcf.VMV1
22:21465835-22171436	.21465807-22360301.m82_21465835-22171436.VMV1
22:22071588-22360243	.21465807-22360301.m82_22071588-22360243.VMV1
22:22358201-22395315	.22358167-22395394.vcf.VMV1
22:22394218-22404460	.22394185-22404470.vcf.VMV1
22:22403766-22558084	.22403663-22558099.vcf.VMV1
22:22558078-22757347	.22558052-22757397.vcf.VMV1
22:22755843-22888250	.22755820-22888255.vcf.VMV1
22:22886667-23022290	.22886646-23022388.vcf.VMV1
22:23022290-23046614	.23022266-23046640.vcf.VMV1
22:23045999-23154222	.23045925-23154320.vcf.VMV1
22:23152819-23221687	.23152772-23221729.vcf.VMV1
22:23220943-23231504	.23220882-23231515.vcf.VMV1
22:23230796-23288028	.23230752-23288079.vcf.VMV1
22:23285474-23584566	.23285473-23832540.m106.1_23285474-23584647.VMV1
