10:100080979-100243451	.100080862-100243581.vcf.VMV1
10:100241365-100366298	.100241360-100366337.vcf.VMV1
10:100365371-100747725	.100365366-101271529.m576.1_100365371-100747725.VMV1
10:100613996-101129753	.100365366-101271529.m576.1_100613996-101129753.VMV1
10:101006245-101148689	.100365366-101271529.m576.1_101006245-101148689.VMV1
10:101148900-101271500	.100365366-101271529.m576.1_101148810-101271500.VMV1
10:10082049-10250793	.10082014-10250838.vcf.VMV1
10:101270971-101330069	.101270916-101330095.vcf.VMV1
10:101328601-101711729	.101328494-102092244.m580_101328601-101711729.VMV1
10:101592689-102070360	.101328494-102092244.m580_101592689-102070360.VMV1
10:101952402-102092166	.101328494-102092244.m580_101952402-102092166.VMV1
10:102090310-102390181	.102090293-102623025.m582.1_102090310-102390251.VMV1
10:102390510-102623021	.102090293-102623025.m582.2_102390251-102623021.VMV1
10:10249014-10402658	.10248934-10402730.vcf.VMV1
10:102621382-102775276	.102621360-102775460.vcf.VMV1
10:102772941-102794521	.102772925-102794619.vcf.VMV1
10:102791392-102956835	.102791350-106143028.m588.1_102791392-102956961.VMV1
10:102957038-103369228	.102791350-106143028.m588.3_102957038-103369228.VMV1
10:103220425-103849612	.102791350-106143028.m588.3_103220425-103849612.VMV1
10:103697200-104212273	.102791350-106143028.m588.3_103697200-104212273.VMV1
10:104212304-104606636	.102791350-106143028.m588.4_104212304-104606636.VMV1
10:104490049-105009275	.102791350-106143028.m588.4_104490049-105009275.VMV1
10:104875136-105245683	.102791350-106143028.m588.4_104875136-105245683.VMV1
10:105245712-105456651	.102791350-106143028.m588.5_105245700-105456979.VMV1
10:105457045-105721417	.102791350-106143028.m588.7_105456979-105721507.VMV1
10:105721569-106142685	.102791350-106143028.m588.7_105721507-106142685.VMV1
10:10395503-10542528	.10395485-10975157.m126.1_10395503-10542534.VMV1
10:10542558-10630142	.10395485-10975157.m126.2_10542534-10630253.VMV1
10:10630383-10975139	.10395485-10975157.m126.3_10630253-10975139.VMV1
10:106138857-106339771	.106138810-108672260.m590.1_106138857-106339839.VMV1
10:106339855-106684382	.106138810-108672260.m590.2_106339855-106684382.VMV1
10:106580882-107017883	.106138810-108672260.m590.2_106580882-107017883.VMV1
10:106895347-107353921	.106138810-108672260.m590.2_106895347-107353921.VMV1
10:107242644-107684346	.106138810-108672260.m590.2_107242644-107684346.VMV1
10:107580194-107995945	.106138810-108672260.m590.2_107580194-107995945.VMV1
10:107996173-108266285	.106138810-108672260.m590.3_107996014-108266327.VMV1
10:108266345-108672251	.106138810-108672260.m590.4_108266327-108672251.VMV1
10:108668297-108729824	.108668231-108729892.vcf.VMV1
10:108727020-108799186	.108726891-108799283.vcf.VMV1
10:108798092-108863893	.108798055-108864081.vcf.VMV1
10:108862666-109164007	.108862434-109608023.m598.1_108862666-109164007.VMV1
10:109066085-109355657	.108862434-109608023.m598.1_109066085-109355657.VMV1
10:109355840-109607887	.108862434-109608023.m598.2_109355787-109607887.VMV1
10:109607314-109899873	.109607302-110317835.m600_109607314-109899873.VMV1
10:109793619-110186345	.109607302-110317835.m600_109793619-110186345.VMV1
10:110099068-110317829	.109607302-110317835.m600_110099068-110317829.VMV1
10:10973600-11257611	.10973595-11257627.vcf.VMV1
10:110315991-110583771	.110315985-112563181.m602.1_110315991-110583771.VMV1
10:110491257-110873069	.110315985-112563181.m602.1_110491257-110873069.VMV1
10:110781362-110930318	.110315985-112563181.m602.1_110781362-110930318.VMV1
10:110930421-111296305	.110315985-112563181.m602.2_110930329-111296325.VMV1
10:111296359-111378585	.110315985-112563181.m602.3_111296325-111378589.VMV1
10:111378974-111697043	.110315985-112563181.m602.4_111378974-111697043.VMV1
10:111582391-112041473	.110315985-112563181.m602.4_111582391-112041473.VMV1
10:111923039-112170030	.110315985-112563181.m602.4_111923039-112170030.VMV1
