5:10034582-10161727	.10034537-10161755.vcf.VMV1
5:100595259-100898928	.100595142-102909106.m568.1_100595259-100898928.VMV1
5:100799737-101202113	.100595142-102909106.m568.1_100799737-101202113.VMV1
5:101104432-101511889	.100595142-102909106.m568.1_101104432-101511889.VMV1
5:101409902-101580278	.100595142-102909106.m568.1_101409902-101580278.VMV1
5:101580488-101891426	.100595142-102909106.m568.2_101580488-101891426.VMV1
5:101792094-102213396	.100595142-102909106.m568.2_101792094-102213396.VMV1
5:102090564-102584129	.100595142-102909106.m568.2_102090564-102584129.VMV1
5:102460020-102697015	.100595142-102909106.m568.2_102460020-102697015.VMV1
5:102697267-102909042	.100595142-102909106.m568.3_102697092-102909042.VMV1
5:10161100-10312527	.10161087-10312582.vcf.VMV1
5:102908385-103031455	.102908371-103031487.vcf.VMV1
5:103030039-103085149	.103030035-103085158.vcf.VMV1
5:103084664-103182371	.103084597-103671090.m574.1_103084664-103182402.VMV1
5:103182434-103321099	.103084597-103671090.m574.2_103182402-103321136.VMV1
5:103321193-103670979	.103084597-103671090.m574.2_103321136-103670979.VMV1
5:10311225-10490436	.10311019-10490494.vcf.VMV1
5:103670162-103992953	.103670047-104856135.m576_103670162-103992953.VMV1
5:103904273-104276589	.103670047-104856135.m576_103904273-104276589.VMV1
5:104177410-104569080	.103670047-104856135.m576_104177410-104569080.VMV1
5:104482797-104856134	.103670047-104856135.m576_104482797-104856134.VMV1
5:104851464-105178796	.104851411-105894946.m578_104851464-105178796.VMV1
5:105063707-105538989	.104851411-105894946.m578_105063707-105538989.VMV1
5:105415245-105866416	.104851411-105894946.m578_105415245-105866416.VMV1
5:105757300-105894894	.104851411-105894946.m578_105757300-105894894.VMV1
5:10485709-10535767	.10485642-10535847.vcf.VMV1
5:10533767-10619953	.10533664-10620004.vcf.VMV1
5:105893888-106195969	.105893853-106394547.m580_105893888-106195969.VMV1
5:106090354-106394484	.105893853-106394547.m580_106090354-106394484.VMV1
5:10619327-10647870	.10619317-10647879.vcf.VMV1
5:106393691-106685563	.106393665-106803111.m582_106393691-106685563.VMV1
5:106592310-106803108	.106393665-106803111.m582_106592310-106803108.VMV1
5:10646637-10668416	.10646630-10668572.vcf.VMV1
5:10667395-10933685	.10667386-10933697.vcf.VMV1
5:106801310-106851504	.106801289-106851552.vcf.VMV1
5:106849383-106909061	.106849380-106909250.vcf.VMV1
5:106907724-107139321	.106907650-107139324.vcf.VMV1
5:107137802-107264844	.107137793-107264864.vcf.VMV1
5:107263811-107560474	.107263715-108634994.m592.1_107263811-107560474.VMV1
5:107459186-107849930	.107263715-108634994.m592.1_107459186-107849930.VMV1
5:107769227-107937208	.107263715-108634994.m592.1_107769227-107937208.VMV1
5:107937387-108253019	.107263715-108634994.m592.2_107937277-108253020.VMV1
5:108253042-108543803	.107263715-108634994.m592.2_108253042-108543803.VMV1
5:108447870-108634987	.107263715-108634994.m592.2_108447870-108634987.VMV1
5:108633738-108641596	.108633737-108641608.vcf.VMV1
5:108638903-108947048	.108638625-109239711.m596_108638903-108947048.VMV1
5:108841708-109239674	.108638625-109239711.m596_108841708-109239674.VMV1
5:109233451-109423989	.109233388-109423991.vcf.VMV1
5:10933485-10967866	.10933371-10968029.vcf.VMV1
5:109423093-109610828	.109423063-109610968.vcf.VMV1
5:109609015-109890556	.109609014-110836866.m602.1_109609015-109890556.VMV1
5:109785731-110169549	.109609014-110836866.m602.1_109785731-110169549.VMV1
5:110075055-110401469	.109609014-110836866.m602.1_110075055-110401469.VMV1
5:110401491-110622064	.109609014-110836866.m602.3_110401489-110622193.VMV1
5:110622298-110836285	.109609014-110836866.m602.3_110622193-110836285.VMV1
5:10966601-11173300	.10966599-11173396.vcf.VMV1
5:110822238-110896974	.110822013-110896983.vcf.VMV1
5:110896762-111098467	.110896648-111966914.m606.1_110896762-111098554.VMV1
5:111098624-111393769	.110896648-111966914.m606.1_111098624-111393769.VMV1
5:111299122-111669737	.110896648-111966914.m606.1_111299122-111669737.VMV1
5:111580480-111908788	.110896648-111966914.m606.1_111580480-111908788.VMV1
5:111837982-111966878	.110896648-111966914.m606.1_111837982-111966878.VMV1
5:11172652-11304529	.11172630-11304586.vcf.VMV1
5:111964214-111981735	.111964168-111981800.vcf.VMV1
