3:100553825-100593719	.100553769-100593800.vcf.VMV1
3:100591824-100843733	.100591813-101811109.m520.1_100591824-100843833.VMV1
3:100843861-101221113	.100591813-101811109.m520.2_100843861-101221113.VMV1
3:101094143-101624975	.100591813-101811109.m520.2_101094143-101624975.VMV1
3:101489787-101666999	.100591813-101811109.m520.2_101489787-101666999.VMV1
3:101667318-101810991	.100591813-101811109.m520.4_101667123-101810991.VMV1
3:101810319-101903005	.101810315-101903073.vcf.VMV1
3:101902232-102259997	.101902027-103450618.m524.1_101902232-102259997.VMV1
3:102139624-102370889	.101902027-103450618.m524.1_102139624-102370889.VMV1
3:102370963-102682520	.101902027-103450618.m524.2_102370963-102682520.VMV1
3:102572618-102980046	.101902027-103450618.m524.2_102572618-102980046.VMV1
3:102891702-103027008	.101902027-103450618.m524.2_102891702-103027008.VMV1
3:103027120-103089140	.101902027-103450618.m524.3_103027064-103089166.VMV1
3:103089194-103450617	.101902027-103450618.m524.3_103089166-103450617.VMV1
3:10206637-10528910	.10206563-10528918.vcf.VMV1
3:103449667-103701852	.103449599-105000980.m526.1_103449667-103701896.VMV1
3:103701940-103746020	.103449599-105000980.m526.2_103701896-103746024.VMV1
3:103746028-103797967	.103449599-105000980.m526.3_103746024-103798072.VMV1
3:103798346-104041340	.103449599-105000980.m526.4_103798072-104041424.VMV1
3:104041484-104111848	.103449599-105000980.m526.5_104041424-104111868.VMV1
3:104111922-104427174	.103449599-105000980.m526.6_104111922-104427174.VMV1
3:104334218-104581204	.103449599-105000980.m526.6_104334218-104581204.VMV1
3:104581420-104881258	.103449599-105000980.m526.7_104581269-104881350.VMV1
3:104881571-105000942	.103449599-105000980.m526.7_104881350-105000942.VMV1
3:104999322-105340579	.104999316-105340780.vcf.VMV1
3:10526762-10631479	.10526620-10631481.vcf.VMV1
3:105339352-105373843	.105339342-105373882.vcf.VMV1
3:105373058-105671329	.105373051-105671357.vcf.VMV1
3:105671133-105695710	.105671110-105695738.vcf.VMV1
3:105695072-105990289	.105695037-106169051.m536_105695072-105990289.VMV1
3:105890419-106168969	.105695037-106169051.m536_105890419-106168969.VMV1
3:106160706-106336934	.106160649-106337057.vcf.VMV1
3:10630144-10675669	.10630019-10675676.vcf.VMV1
3:106334685-106401654	.106334492-106401816.vcf.VMV1
3:106399294-106422567	.106399251-106422611.vcf.VMV1
3:106421447-106834946	.106421410-107733088.m544.1_106421447-106835010.VMV1
3:106835012-106982790	.106421410-107733088.m544.2_106835010-106982823.VMV1
3:106982841-107333999	.106421410-107733088.m544.3_106982841-107333999.VMV1
3:107198882-107598075	.106421410-107733088.m544.3_107198882-107598075.VMV1
3:107598135-107733055	.106421410-107733088.m544.4_107598124-107733055.VMV1
3:10672856-11020336	.10672804-11020349.vcf.VMV1
3:107732083-108077102	.107732003-108638396.m546.1_107732083-108077102.VMV1
3:107959643-108453271	.107732003-108638396.m546.1_107959643-108453271.VMV1
3:108322127-108556021	.107732003-108638396.m546.1_108322127-108556021.VMV1
3:108556245-108638342	.107732003-108638396.m546.1_108556118-108638342.VMV1
3:108636982-108980302	.108636948-109524603.m548.1_108636982-108980305.VMV1
3:108980339-109018282	.108636948-109524603.m548.2_108980305-109018300.VMV1
3:109018312-109335763	.108636948-109524603.m548.2_109018312-109335763.VMV1
3:109230547-109524595	.108636948-109524603.m548.2_109230547-109524595.VMV1
3:109522683-109844372	.109522569-110095633.m550.1_109522683-109844372.VMV1
3:109736527-109962684	.109522569-110095633.m550.1_109736527-109962684.VMV1
3:109962759-110095577	.109522569-110095633.m550.1_109962711-110095577.VMV1
3:110093681-110514393	.110093602-110514393.vcf.VMV1
3:11019201-11041308	.11019065-11041391.vcf.VMV1
3:11039701-11076171	.11039678-11076195.vcf.VMV1
3:110513074-110930140	.110512975-110930162.vcf.VMV1
3:11069298-11097680	.11069168-11097743.vcf.VMV1
3:110929089-111296846	.110928965-112413400.m556.1_110929089-111296934.VMV1
3:111296963-111417691	.110928965-112413400.m556.2_111296934-111417726.VMV1
3:111417763-111727122	.110928965-112413400.m556.3_111417726-111727244.VMV1
3:111727300-112101143	.110928965-112413400.m556.5_111727244-112101144.VMV1
3:112101315-112413389	.110928965-112413400.m556.6_112101144-112413389.VMV1
3:11096504-11224699	.11096460-11224706.vcf.VMV1
3:11223597-11552492	.11223593-11814331.m148.1_11223597-11552492.VMV1
3:11444906-11712302	.11223593-11814331.m148.1_11444906-11712302.VMV1
3:11712378-11814167	.11223593-11814331.m148.1_11712367-11814167.VMV1
3:112408788-112815918	.112408718-112940825.m558.1_112408788-112815945.VMV1
3:112815980-112940801	.112408718-112940825.m558.1_112815945-112940801.VMV1
3:112938244-113328419	.112938223-113328459.vcf.VMV1
3:1130027-1164322	.1130022-1164324.vcf.VMV1
3:113323793-113653221	.113323790-113653303.vcf.VMV1
3:113650717-114018455	.113650677-114018517.vcf.VMV1
3:114017710-114133995	.114017655-114133999.vcf.VMV1
3:114133800-114425689	.114133735-115240434.m568.1_114133800-114425706.VMV1
3:114425836-114839420	.114133735-115240434.m568.1_114425836-114839420.VMV1
3:114700873-115240432	.114133735-115240434.m568.1_114700873-115240432.VMV1
3:115239061-115289200	.115238966-115289246.vcf.VMV1
3:115287381-115319956	.115287315-115320017.vcf.VMV1
3:115317694-115371150	.115317529-115371170.vcf.VMV1
3:115367355-115411046	.115367284-115411112.vcf.VMV1
3:115409751-115447178	.115409672-115447352.vcf.VMV1
3:115444259-115606758	.115444201-115606874.vcf.VMV1
3:115605306-115648677	.115605225-115648739.vcf.VMV1
3:115646352-115949581	.115646328-116351760.m584.1_115646352-115949801.VMV1
3:115949823-116351720	.115646328-116351760.m584.2_115949801-116351720.VMV1
3:116351147-116380763	.116351093-116380814.vcf.VMV1
3:116379369-116453809	.116379317-116453815.vcf.VMV1
3:1163874-1442601	.1163868-1442626.vcf.VMV1
3:116451409-116833493	.116451380-116833599.vcf.VMV1
3:116830124-116840487	.116830036-116840493.vcf.VMV1
3:116838654-116851193	.116838644-116851198.vcf.VMV1
3:116850239-117014205	.116850236-117014304.vcf.VMV1
3:117011888-117074440	.117011860-117074520.vcf.VMV1
3:117073369-117156969	.117073267-117157100.vcf.VMV1
3:117156348-117238112	.117156343-117238139.vcf.VMV1
3:117237442-117246360	.117237439-117246367.vcf.VMV1
3:117242969-117346618	.117242939-117346644.vcf.VMV1
3:117345314-117650185	.117345309-118001008.m608_117345314-117650185.VMV1
3:117549013-117988025	.117345309-118001008.m608_117549013-117988025.VMV1
3:117875153-118000812	.117345309-118001008.m608_117875153-118000812.VMV1
3:117999517-118408712	.117999443-118903415.m610.1_117999517-118408868.VMV1
3:118408889-118529025	.117999443-118903415.m610.2_118408868-118529086.VMV1
3:118529623-118903386	.117999443-118903415.m610.2_118529086-118903386.VMV1
3:11810873-11882945	.11810837-11883079.vcf.VMV1
3:11881767-11910147	.11881765-11910150.vcf.VMV1
3:118903235-119102274	.118903234-119102354.vcf.VMV1
3:11909759-11956110	.11909583-11956123.vcf.VMV1
3:119100023-119266851	.119099907-120385940.m614.1_119100023-119266882.VMV1
3:119266891-119507886	.119099907-120385940.m614.3_119266882-119507912.VMV1
3:119508068-119859382	.119099907-120385940.m614.4_119508068-119859382.VMV1
3:119741298-120147336	.119099907-120385940.m614.4_119741298-120147336.VMV1
3:120147354-120385936	.119099907-120385940.m614.4_120147345-120385936.VMV1
3:11955513-12026372	.11955498-12862165.m156.1_11955513-12026425.VMV1
3:12026479-12474989	.11955498-12862165.m156.2_12026425-12475037.VMV1
3:12475088-12862115	.11955498-12862165.m156.2_12475037-12862115.VMV1
