8:101450755-101499681	.101450705-101499729.vcf.VMV1
8:101496342-101622457	.101496335-101622489.vcf.VMV1
8:101620374-101687601	.101620229-101687602.vcf.VMV1
8:101687142-101885935	.101687135-101886049.vcf.VMV1
8:101881498-102005749	.101881464-102005749.vcf.VMV1
8:102003418-102073653	.102003376-102073753.vcf.VMV1
8:102064839-102147798	.102064809-102147882.vcf.VMV1
8:102146211-102536566	.102146188-102536768.vcf.VMV1
8:102533736-102749408	.102533689-102749488.vcf.VMV1
8:102748037-102944924	.102748034-102945083.vcf.VMV1
8:102944426-103201985	.102944426-103201994.vcf.VMV1
8:103200036-103559010	.103199900-103732329.m462.1_103200036-103559027.VMV1
8:103559059-103732325	.103199900-103732329.m462.2_103559027-103732325.VMV1
8:103731187-103973049	.103731175-104466897.m464.1_103731187-103973111.VMV1
8:103973233-104087620	.103731175-104466897.m464.2_103973111-104087638.VMV1
8:104087745-104466758	.103731175-104466897.m464.3_104087638-104466758.VMV1
8:104465031-104799017	.104465013-106512654.m466.1_104465031-104799017.VMV1
8:104674474-105155788	.104465013-106512654.m466.1_104674474-105155788.VMV1
8:105036451-105374219	.104465013-106512654.m466.1_105036451-105374219.VMV1
8:105374417-105464067	.104465013-106512654.m466.2_105374237-105464173.VMV1
8:105464272-105814767	.104465013-106512654.m466.3_105464272-105814767.VMV1
8:105694134-105984076	.104465013-106512654.m466.3_105694134-105984076.VMV1
8:105984222-106324350	.104465013-106512654.m466.4_105984222-106324350.VMV1
8:106217957-106508710	.104465013-106512654.m466.4_106217957-106508710.VMV1
8:106508775-106512514	.104465013-106512654.m466.4_106508755-106512514.VMV1
8:106510194-106595297	.106510176-106595380.vcf.VMV1
8:106594322-106722942	.106594190-107411779.m470.1_106594322-106722947.VMV1
8:106723229-107059958	.106594190-107411779.m470.2_106723229-107059958.VMV1
8:106948038-107266370	.106594190-107411779.m470.2_106948038-107266370.VMV1
8:107266467-107411705	.106594190-107411779.m470.2_107266464-107411705.VMV1
8:107410463-107800419	.107410433-108393734.m472.1_107410463-107800419.VMV1
8:107663557-108088439	.107410433-108393734.m472.1_107663557-108088439.VMV1
8:108088699-108393728	.107410433-108393734.m472.2_108088441-108393728.VMV1
8:108393332-108540257	.108393305-108841268.m474.1_108393332-108540269.VMV1
8:108540282-108841151	.108393305-108841268.m474.2_108540269-108841151.VMV1
8:108816375-109012899	.108816234-111047554.m476.1_108816375-109012933.VMV1
8:109012957-109351480	.108816234-111047554.m476.2_109012957-109351480.VMV1
8:109228008-109589168	.108816234-111047554.m476.2_109228008-109589168.VMV1
8:109589334-109924059	.108816234-111047554.m476.3_109589196-109924061.VMV1
8:109924086-110255808	.108816234-111047554.m476.4_109924086-110255808.VMV1
8:110148186-110604607	.108816234-111047554.m476.4_110148186-110604607.VMV1
8:110478354-110762329	.108816234-111047554.m476.4_110478354-110762329.VMV1
8:110762551-111047532	.108816234-111047554.m476.5_110762344-111047532.VMV1
8:111047270-111188437	.111047270-114783827.m478.1_111047270-111188463.VMV1
8:111188532-111457574	.111047270-114783827.m478.2_111188463-111457725.VMV1
8:111457766-111799137	.111047270-114783827.m478.3_111457766-111799137.VMV1
8:111689366-112020057	.111047270-114783827.m478.3_111689366-112020057.VMV1
